"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1"
NA,NA,NA,NA,"tdh3","ygr192c","ORF","882812-883810","-","VII","ygr192c",23135.5873734949
NA,NA,NA,NA,"ccw12","ylr110c","ORF","369697-370098","-","XII","ylr110c",16537.0268498222
"adh1",0,1,0,"adh1","yol086c","ORF","159548-160594","-","XV","yol086c",14030.3454207658
NA,NA,NA,NA,"fba1","ykl060c","ORF","326408-327487","-","XI","ykl060c",12725.2601612209
NA,NA,NA,NA,"ykl153w","ykl153w","ORF","163600-164109","+","XI","ykl153w",10589.2763368898
NA,NA,NA,NA,"gpm1","ykl152c","ORF","163642-164385","-","XI","ykl152c",10266.5110080521
NA,NA,NA,NA,"pgk1","ycr012w","ORF","137746-138996","+","III","ycr012w",8607.30648300159
NA,NA,NA,NA,"ycr013c","ycr013c","ORF","138402-139049","-","III","ycr013c",8466.34150020318
NA,NA,NA,NA,"cwp2","ykl096w-a","ORF","259253-259531","+","XI","ykl096w-a",7725.85166856907
NA,NA,NA,NA,"eno2","yhr174w","ORF","451327-452640","+","VIII","yhr174w",7199.34357301366
NA,NA,NA,NA,"hsp150","yjl159w","ORF","120449-121690","+","X","yjl159w",6230.99125438592
"pdc1",0,0,1,"pdc1","ylr044c","ORF","232390-234081","-","XII","ylr044c",5767.99858532167
NA,NA,NA,NA,"ymr122w-a","ymr122w-a","ORF","511315-511569","+","XIII","ymr122w-a",5610.76638086855
NA,NA,NA,NA,"hta1","ydr225w","ORF","915530-915928","+","IV","ydr225w",5359.69070228979
NA,NA,NA,NA,"eno1","ygr254w","ORF","1000927-1002240","+","VII","ygr254w",4690.45019249803
NA,NA,NA,NA,"yal037c-b","yal037c-b","ORF","72326-73300","-","I","yal037c-b",4511.21887830489
NA,NA,NA,NA,"cdc19","yal038w","ORF","71786-73288","+","I","yal038w",4468.03447605411
"tdh2",0,1,0,"tdh2","yjr009c","ORF","453683-454681","-","X","yjr009c",4385.89330685612
NA,NA,NA,NA,"tpi1","ydr050c","ORF","555726-556472","-","IV","ydr050c",4195.23650069308
