"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1","T2"
NA,NA,NA,NA,"tdh3","ygr192c","ORF","882812-883810","-","VII","ygr192c",-10806.6251379473,12328.9622355476
NA,NA,NA,NA,"ccw12","ylr110c","ORF","369697-370098","-","XII","ylr110c",-7983.3252883496,8553.70156147258
"adh1",0,1,0,"adh1","yol086c","ORF","159548-160594","-","XV","yol086c",-6353.02474985073,7677.32067091506
NA,NA,NA,NA,"fba1","ykl060c","ORF","326408-327487","-","XI","ykl060c",-5488.21108303288,7237.04907818806
NA,NA,NA,NA,"ykl153w","ykl153w","ORF","163600-164109","+","XI","ykl153w",-4894.77391329712,5694.50242359271
NA,NA,NA,NA,"gpm1","ykl152c","ORF","163642-164385","-","XI","ykl152c",-4682.28573369898,5584.2252743531
NA,NA,NA,NA,"cwp2","ykl096w-a","ORF","259253-259531","+","XI","ykl096w-a",-4203.6149261723,3522.23674239677
NA,NA,NA,NA,"pgk1","ycr012w","ORF","137746-138996","+","III","ycr012w",-4168.34065175175,4438.96583124984
NA,NA,NA,NA,"ycr013c","ycr013c","ORF","138402-139049","-","III","ycr013c",-4148.92688175477,4317.41461844841
NA,NA,NA,NA,"eno2","yhr174w","ORF","451327-452640","+","VIII","yhr174w",-3263.51857751038,3935.82499550329
NA,NA,NA,NA,"ydr524c-b","ydr524c-b","ORF","1489598-1489798","-","IV","ydr524c-b",-3017.00743490725,-1433.13205104483
NA,NA,NA,NA,"hsp150","yjl159w","ORF","120449-121690","+","X","yjl159w",-2642.06991055994,3588.92134382598
"pdc1",0,0,1,"pdc1","ylr044c","ORF","232390-234081","-","XII","ylr044c",-2559.31396044813,3208.68462487354
NA,NA,NA,NA,"hta1","ydr225w","ORF","915530-915928","+","IV","ydr225w",-2535.48179300228,2824.20890928751
NA,NA,NA,NA,"ymr122w-a","ymr122w-a","ORF","511315-511569","+","XIII","ymr122w-a",-2330.25306130579,3280.51331956276
NA,NA,NA,NA,"ydr524w-c","ydr524w-c","ORF","1489403-1489492","+","IV","ydr524w-c",-2148.12215031833,-3117.61488165243
NA,NA,NA,NA,"yal037c-b","yal037c-b","ORF","72326-73300","-","I","yal037c-b",-2091.1581003496,2420.06077795529
NA,NA,NA,NA,"cdc19","yal038w","ORF","71786-73288","+","I","yal038w",-1986.3938172899,2481.6406587642
NA,NA,NA,NA,"eno1","ygr254w","ORF","1000927-1002240","+","VII","ygr254w",-1976.47221743277,2713.97797506525
"pmp1",0,0,1,"pmp1","ycr024c-a","ORF","162945-163067","-","III","ycr024c-a",-1770.12154100433,2222.57234150516
NA,NA,NA,NA,"efb1","yal003w","ORF","142174-143160","+","I","yal003w",-1747.10610279454,1142.6850433461
"tdh2",0,1,0,"tdh2","yjr009c","ORF","453683-454681","-","X","yjr009c",-1660.63469046211,2725.25861639401
NA,NA,NA,NA,"tpi1","ydr050c","ORF","555726-556472","-","IV","ydr050c",-1622.8002270194,2572.43627367367
NA,NA,NA,NA,"hht2","ynl031c","ORF","575640-576050","-","XIV","ynl031c",-1610.32606464792,2206.2166054951
NA,NA,NA,NA,"ylr286w-a","ylr286w-a","ORF","708562-708696","+","XII","ylr286w-a",-1579.06054418968,1761.96643570337
NA,NA,NA,NA,"mfa2","ynl145w","ORF","352414-352530","+","XIV","ynl145w",-1574.88339105868,-462.823180569521
NA,NA,NA,NA,"rpl15a","ylr029c","ORF","201976-202590","-","XII","ylr029c",-1571.40998588062,1162.07518166041
NA,NA,NA,NA,"htb1","ydr224c","ORF","914317-914712","-","IV","ydr224c",-1533.77783331713,1680.28971613856
"met17",0,1,0,"met17","ylr303w","ORF","732542-733876","+","XII","ylr303w",-1448.74794463646,1446.88913245983
"met6",0,0,1,"met6","yer091c","ORF","339864-342167","-","V","yer091c",-1411.66894511198,1276.35513115843
NA,NA,NA,NA,"yjl133c-a","yjl133c-a","ORF","159623-159847","-","X","yjl133c-a",-1192.41055995944,1106.13914896713
NA,NA,NA,NA,"ybr126w-b","ybr126w-b","ORF","490927-491070","+","II","ybr126w-b",-1176.28238311818,1833.15734718243
NA,NA,NA,NA,"hxt1","yhr094c","ORF","290913-292625","-","VIII","yhr094c",-1138.73136507366,1025.06344867115
NA,NA,NA,NA,"gln1","ypr035w","ORF","642208-643320","+","XVI","ypr035w",-1118.15532328989,1568.31730901715
NA,NA,NA,NA,"rpl14a","ykl006w","ORF","431906-432720","+","XI","ykl006w",-1093.84034026512,1162.02593506413
NA,NA,NA,NA,"ssa2","yll024c","ORF","95566-97485","-","XII","yll024c",-1077.37176800553,870.095601559901
"shm2",0,0.5,0.5,"shm2","ylr058c","ORF","257992-259401","-","XII","ylr058c",-1076.06587976343,824.462999100283
NA,NA,NA,NA,"ykl156c-a","ykl156c-a","ORF","158975-159091","-","XI","ykl156c-a",-1003.89938702961,438.329871088029
NA,NA,NA,NA,"rps23a","ygr118w","ORF","726974-727730","+","VII","ygr118w",-994.61826550578,812.848055561852
NA,NA,NA,NA,"rps20","yhl015w","ORF","75412-75777","+","VIII","yhl015w",-993.185600895791,106.161290691127
NA,NA,NA,NA,"rpl28","ygl103w","ORF","310967-311927","+","VII","ygl103w",-991.075679106808,476.12723786053
"rps18b",0,1,0,"rps18b","yml026c","ORF","222987-223828","-","XIII","yml026c",-972.751808537929,758.578969910884
NA,NA,NA,NA,"ycr024c-b","ycr024c-b","ORF","162599-162865","-","III","ycr024c-b",-960.634524594915,1171.89281664883
NA,NA,NA,NA,"ygl102c","ygl102c","ORF","311505-311933","-","VII","ygl102c",-931.258946642918,389.234883046478
"bmh1",0.333333333333333,0.333333333333333,0.333333333333333,"bmh1","yer177w","ORF","545611-546414","+","V","yer177w",-927.452645426564,1357.71426407032
"rpl37a",0,0,1,"rpl37a","ylr185w","ORF","522663-523288","+","XII","ylr185w",-923.541431887761,986.048072205101
NA,NA,NA,NA,"gpp2","yer062c","ORF","279930-280682","-","V","yer062c",-910.588486181755,579.680816739445
NA,NA,NA,NA,"hhf2","ynl030w","ORF","576727-577038","+","XIV","ynl030w",-867.38942923539,1565.18070340404
"sam1",0,1,0,"sam1","ylr180w","ORF","515262-516410","+","XII","ylr180w",-842.143427365941,637.835736792606
