"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11"
NA,NA,NA,NA,"pro2","yor323c","ORF","921535-922905","-","XV","yor323c",-0.310327655172416,-0.301263121212116,-0.244788052631585,-0.270796642857139,-0.0487727916666654,0.0696204814814781,0.362681741935486,-0.122799957142856,-0.190449455696204,-0.256570842696629,-0.286238198019804
NA,NA,NA,NA,"hom2","ydr158w","ORF","770357-771454","+","IV","ydr158w",-1.59334913793106,-1.57793230303031,-1.48522960526314,-1.71657692857144,-1.10626520833333,-0.573116555555552,0.322761451612905,0.202857485714276,0.241752531645572,0.319248426966294,0.266899930693072
NA,NA,NA,NA,"ymc1","ypr058w","ORF","673751-674674","+","XVI","ypr058w",0.0723857241379341,0.0926315757575763,0.061972210526314,0.155808119047624,-0.116300729166667,-0.166708277777777,-0.26564141935484,0.00339924285714233,0.149780708860759,0.284352955056178,0.423420108910894
NA,NA,NA,NA,"rpl3","yor063w","ORF","444686-445849","+","XV","yor063w",-1.86310517241384,-3.20675939393947,-3.45399999999999,-7.25941119047613,-2.13103437500005,2.00193185185189,11.0450688709677,8.09599857142861,-0.816019367088636,-6.68364337078651,-14.7786682178218
NA,NA,NA,NA,"arg4","yhr018c","ORF","140011-141402","-","VIII","yhr018c",-1.61045827586208,-1.94127909090908,-2.39361289473684,-3.00756011904761,-3.96030683333334,-3.04442329629629,-0.422824225806468,-0.539219785714278,-0.0675250506329184,0.629647483146075,1.27618379207921
NA,NA,NA,NA,"rpl4b","ydr012w","ORF","471853-472941","+","IV","ydr012w",-2.3038151034483,-2.73674127272725,-2.49100868421052,-4.56354366666669,-0.0904065624999835,1.73529198148148,4.99721467741935,1.55017894285714,-0.140652151898728,-1.34230605617977,-2.68947067326733
"lys1",0,0,1,"lys1","yir034c","ORF","419615-420736","-","IX","yir034c",0.0928559310344899,0.268192666666657,0.332192078947368,0.644236619047628,0.259916270833334,0.228276500000001,0.357237419354832,-0.335602042857139,-0.0994048481012687,-0.0642093707865135,0.0347555049504952
NA,NA,NA,NA,"pmp2","yel017c-a","ORF","122798-122929","-","V","yel017c-a",-2.16830103448274,-2.09396878787877,-1.87255552631583,-2.55995857142856,-0.413637083333308,0.751405740740741,2.93069225806452,-0.988158571428585,-1.86839632911392,-2.79033584269662,-3.70578168316833
NA,NA,NA,NA,"ypr059c","ypr059c","ORF","674314-674700","-","XVI","ypr059c",0.0348138620689665,0.0886079090909158,0.077325105263152,0.264112857142857,-0.0492632708333337,-0.246158481481481,-0.811297258064513,-0.0867327428571433,0.336031405063292,0.682751303370784,1.06789936633663
NA,NA,NA,NA,"aro8","ygl202w","ORF","116059-117561","+","VII","ygl202w",-1.24588241379311,-1.42030233333333,-1.49045976315787,-2.07657145238096,-1.34097458333334,-0.976307388888876,-0.539753693548403,-0.0703754142857146,0.306925430379752,0.720362865168538,1.10013855445544
NA,NA,NA,NA,"fol2","ygr267c","ORF","1025004-1025735","-","VII","ygr267c",0.609001034482774,0.867987939393928,0.947842210526316,1.70549133333333,0.6584769375,0.511048518518527,0.301249774193544,0.67547904285714,0.622519303797472,0.585619370786516,0.473335613861385
